status,gno_address,ugnot_total,ugnot_base,ugnot_tiered_bonus,ugnot_first24h_bonus,accepted_usd,lockup_12m,first_24h_eligible,bound_at,signer
GENESIS,g1q4gm7fpmtjur2659mvnh7cavk5uz9mx30dpu8q,23125581395,21023255814,2102325581,0,1356,no,no,2026-09-04T04:29:55.451Z,adena
GENESIS,g1qenjcqhqctxcdjrtjgnf6sewgjs74f4xtvmqe0,18660465117,15550387597,2332558140,777519380,1003,no,yes,2026-09-04T02:58:33.616Z,adena
GENESIS,g1quy52dmn6ggckveyxxngw8khkycq6atm6f4tr5,184186046512,153488372093,23023255814,7674418605,9900,no,yes,2026-09-09T01:57:42.162Z,adena
GENESIS,g1r44nngjxzwan22t0s7ta3lp4amn756aksyd8tn,23722480620,21565891473,2156589147,0,1391,no,no,2026-09-06T10:38:30.317Z,adena
GENESIS,g1ruk4r4k87e08mz6z5jd3g698yhak5ygc3yjvvn,9302325581,7751937984,1162790698,387596899,500,no,yes,2026-09-06T11:12:24.012Z,adena
GENESIS,g1s5uydewcz2sch8ev5qr0u2fhhe5mkrlpdg2km4,186046511627,155038759690,23255813953,7751937984,10000,no,yes,2026-09-09T05:32:49.874Z,adena
GENESIS,g1sdaa2huuc9xph7033la63k6l7w4zazfde8ll5g,23313178295,21193798450,2119379845,0,1367,no,no,2026-09-05T00:52:23.765Z,adena
GENESIS,g1sn2hpzc7d3jq74d5ctsp402qeqvjs4qxrwxknm,62702486456,55813953488,6888532968,0,3600,no,no,2026-09-07T00:14:47.428Z,adena
GENESIS,g1syeqptfl0p0g6rqaw6g6erq03u8fn2vlhc4wqm,1782945737,1550387597,232558140,0,100,no,no,2026-09-04T13:50:37.055Z,gnokey
GENESIS,g1ta6leew26kkscrjw7eshpmz90jdj2vw9hnx5yz,930232558139,775193798450,116279069767,38759689922,50000,no,yes,2026-09-08T05:47:47.823Z,adena
GENESIS,g1tg9f7xd9e4fw66y2y8srzzxys940ys2xsjp2wn,60620155039,52713178295,7906976744,0,3400,no,no,2026-09-04T08:25:31.423Z,adena
GENESIS,g1up8qmhmw0crhp420zvregw5ntt2f77kxw3nss7,12248837210,10651162791,1597674419,0,687,no,no,2026-09-05T15:09:55.672Z,adena
GENESIS,g1wndh22wyg7yqd702qwk6xvzgky2u5c79t997un,511627906977,465116279070,46511627907,0,30000,no,no,2026-09-04T04:31:29.758Z,adena
GENESIS,g1ww03h6sng0u6j72ee9s6hlt7j2actjx936l5z9,123665116279,107534883721,16130232558,0,6936,no,no,2026-09-04T20:17:42.374Z,adena
GENESIS,g1xty8z6ea5fy5y8fz3hr67ka36kzrm35snt72u3,29579069768,25720930233,3858139535,0,1659,no,no,2026-09-04T02:55:48.620Z,adena
GENESIS,g1y07l2xj0m0dd0dywe2ny8c2wg0mnzwaftssh6n,13175968992,11457364341,1718604651,0,739,no,no,2026-09-04T20:50:26.757Z,adena
GENESIS,g1yda3v4gspsv97z9z2dde5fyzwuddkxjgg3e9jx,1739534884,1581395349,158139535,0,102,no,no,2026-09-04T08:40:49.646Z,adena
GENESIS,g1z89utvygweg5l56fsk8ak7t6hh88fd0a8kdeyv,170542635659,155038759690,15503875969,0,10000,no,no,2026-09-05T14:47:12.464Z,adena
GENESIS,g1zdqp8z0rlc340rfc7g4dpdr0sspylat5gug9ch,24301550388,21131782946,3169767442,0,1363,no,no,2026-09-04T07:40:01.893Z,adena
GENESIS,g1zlk4m02g52vq387lhf9tdcjuu4t2sffuajkdut,13693023256,11906976744,1786046512,0,768,no,no,2026-09-04T15:19:17.323Z,adena
UNCLAIMED,,744186046512,620155038760,93023255814,31007751938,40000,no,yes,,
UNCLAIMED,,743690232558,619741860465,92961279070,30987093023,39973.35,no,yes,,
UNCLAIMED,,682170542636,620155038760,62015503876,0,40000,no,no,,
UNCLAIMED,,558139534883,465116279070,69767441860,23255813953,30000,no,yes,,
UNCLAIMED,,490470542636,426496124031,63974418605,0,27509,no,no,,
UNCLAIMED,,325510852713,280356589147,31136434109,14017829457,18083,no,yes,,
UNCLAIMED,,178294573643,155038759690,23255813953,0,10000,no,no,,
UNCLAIMED,,157347286822,139519379845,17827906977,0,8999,no,no,,
UNCLAIMED,,140651162791,117209302326,17581395349,5860465116,7560,no,yes,,
UNCLAIMED,,130418604651,108682170543,16302325581,5434108527,7010,no,yes,,
UNCLAIMED,,129693023256,108077519380,16211627907,5403875969,6971,no,yes,,
UNCLAIMED,,126511627906,105426356589,15813953488,5271317829,6800,no,yes,,
UNCLAIMED,,72565891473,63100775194,9465116279,0,4070,no,no,,
UNCLAIMED,,72437209302,61069767442,8313953488,3053488372,3939,no,yes,,
UNCLAIMED,,51348837210,44651162791,6697674419,0,2880,no,no,,
UNCLAIMED,,50992248062,46356589147,4635658915,0,2990,no,no,,
UNCLAIMED,,50455813953,42046511628,6306976744,2102325581,2712,no,yes,,
UNCLAIMED,,37192248062,32341085271,4851162791,0,2086,no,no,,
UNCLAIMED,,35658914729,31007751938,4651162791,0,2000,no,no,,
UNCLAIMED,,35658914729,31007751938,4651162791,0,2000,no,no,,
UNCLAIMED,,34108527132,31007751938,3100775194,0,2000,no,no,,
UNCLAIMED,,34108527132,31007751938,3100775194,0,2000,no,no,,
UNCLAIMED,,24248062016,21085271318,3162790698,0,1360,no,no,,
UNCLAIMED,,21675968993,19705426357,1970542636,0,1271,no,no,,
UNCLAIMED,,21317829457,19379844961,1937984496,0,1250,no,no,,
UNCLAIMED,,18604651162,15503875969,2325581395,775193798,1000,no,yes,,
UNCLAIMED,,18418604650,15348837209,2302325581,767441860,990,no,yes,,
UNCLAIMED,,17562015503,15271317829,2290697674,0,985,no,no,,
UNCLAIMED,,17224806202,15658914729,1565891473,0,1010,no,no,,
UNCLAIMED,,10232558139,9302325581,930232558,0,600,no,no,,
UNCLAIMED,,9209302325,8372093023,837209302,0,540,no,no,,
UNCLAIMED,,7925311088,6604425907,990663886,330221295,425.985471,no,yes,,
UNCLAIMED,,5259689923,4573643411,686046512,0,295,no,no,,
UNCLAIMED,,3758139535,3131782946,469767442,156589147,202,no,yes,,
UNCLAIMED,,3720930233,3100775194,465116279,155038760,200,no,yes,,
UNCLAIMED,,3462015504,3147286822,314728682,0,203,no,no,,
UNCLAIMED,,3410852713,3100775194,310077519,0,200,no,no,,
UNCLAIMED,,3410852713,3100775194,310077519,0,200,no,no,,
UNCLAIMED,,2643410853,2403100775,240310078,0,155,no,no,,
UNCLAIMED,,2065116280,1720930233,258139535,86046512,111,no,yes,,
UNCLAIMED,,2046511628,1705426357,255813953,85271318,110,no,yes,,
UNCLAIMED,,1860465117,1550387597,232558140,77519380,100,no,yes,,
UNCLAIMED,,1782945737,1550387597,232558140,0,100,no,no,,
UNCLAIMED,,1705426357,1550387597,155038760,0,100,no,no,,
